"DATUM","TYP","VOM KONTO","ZUM KONTO / ZUR KATEGORIE","BETRAG","WÄHRUNG","BETRAG 2","WÄHRUNG 2","BEZEICHNUNGEN","NOTIZEN"
"29.01.20","Ausgabe","Girokarte","Reisen","7","EUR","7","EUR","",""
"29.01.20","Ausgabe","Girokarte","Reisen","13.4","EUR","13.4","EUR","",""
"28.01.20","Ausgabe","Girokarte","Lebensmittel","40.52","EUR","40.52","EUR","",""
"25.01.20","Ausgabe","Girokarte","Lebensmittel","1.8","EUR","1.8","EUR","",""
"25.01.20","Ausgabe","Girokarte","Reisen","2.75","EUR","2.75","EUR","",""
"25.01.20","Ausgabe","Girokarte","Freizeit","5","EUR","5","EUR","",""
"25.01.20","Ausgabe","Girokarte","Kleidung (Allgemein)","36.95","EUR","36.95","EUR","",""
"25.01.20","Ausgabe","Girokarte","Reisen","2.75","EUR","2.75","EUR","",""
"22.01.20","Ausgabe","Girokarte","Abonnenements ","6.99","EUR","6.99","EUR","","Brain.fnlm"
"21.01.20","Ausgabe","Girokarte","Freizeit","13","EUR","13","EUR","",""
"21.01.20","Ausgabe","Girokarte","Reisen","2.75","EUR","2.75","EUR","",""
"20.01.20","Ausgabe","Girokarte","Lebensmittel","71.49","EUR","71.49","EUR","",""
"20.01.20","Ausgabe","Girokarte","Reisen","11.95","EUR","11.95","EUR","","Hostel nLondon Vorzahlung"
"20.01.20","Ausgabe","Girokarte","Reisen","149","EUR","149","EUR","","LIMUN Flüge"
"17.01.20","Ausgabe","Girokarte","Reisen","2.75","EUR","2.75","EUR","",""
"17.01.20","Ausgabe","Girokarte","Freizeit","6.5","EUR","6.5","EUR","",""
"15.01.20","Ausgabe","Girokarte","Reisen","2.75","EUR","2.75","EUR","",""
"15.01.20","Ausgabe","Girokarte","Freizeit","3","EUR","3","EUR","",""
"15.01.20","Ausgabe","Girokarte","Reisen","2.75","EUR","2.75","EUR","",""
"14.01.20","Ausgabe","Girokarte","Lebensmittel","86.81","EUR","86.81","EUR","",""
"13.01.20","Ausgabe","Girokarte","Allgemein","121.9","EUR","121.9","EUR","","Armbanduhr als Belohnung für BA"
